window_id,DeviceA_ax_max,DeviceA_ax_min,DeviceA_ax_mean,DeviceA_ay_max,DeviceA_ay_min,DeviceA_ay_mean,DeviceA_az_max,DeviceA_az_min,DeviceA_az_mean,DeviceA_gx_max,DeviceA_gx_min,DeviceA_gx_mean,DeviceA_gy_max,DeviceA_gy_min,DeviceA_gy_mean,DeviceA_gz_max,DeviceA_gz_min,DeviceA_gz_mean,DeviceB_ax_max,DeviceB_ax_min,DeviceB_ax_mean,DeviceB_ay_max,DeviceB_ay_min,DeviceB_ay_mean,DeviceB_az_max,DeviceB_az_min,DeviceB_az_mean,DeviceB_gx_max,DeviceB_gx_min,DeviceB_gx_mean,DeviceB_gy_max,DeviceB_gy_min,DeviceB_gy_mean,DeviceB_gz_max,DeviceB_gz_min,DeviceB_gz_mean,activity
,0.0152579999999999,-0.012939,0.00074828,0.0834959999999999,-0.06836,0.0043109099999999,0.105346,-0.077515,-0.0007848999999999,1.64795,-1.464844,0.004577635,3.845216,-4.333497,-0.13549808,2.929688,-2.685547,-0.16906741,0.0177009999999999,-0.014282,0.00112183,0.06128,-0.044922,0.000441285,0.030029,-0.041992,-0.00323608,15.319828,-14.28223,-0.0003051599999999,2.746582,-2.624513,-0.160522495,4.089356,-3.662109,0.121460025,riding
,0.0152579999999999,-0.016235,-0.00012574,0.0834959999999999,-0.0921629999999999,-2.8064999999999617e-05,0.066528,-0.068115,-0.0023913449999999,1.098633,-1.464844,-0.036621105,3.845216,-2.868653,0.065612805,2.929688,-2.685547,0.084533665,0.0177009999999999,-0.017212,7.994999999999919e-05,0.0384519999999999,-0.038208,-0.000723265,0.0415039999999999,-0.041992,-0.0001922599999999,15.319828,-1.098633,0.04943851,2.746582,-2.624513,0.06744388,2.868653,-3.662109,-0.061340275,riding
,0.0152579999999999,-0.016235,0.0001062099999999,0.0834959999999999,-0.0921629999999999,0.0007080199999999,0.066528,-0.068115,0.001351925,1.098633,-1.281738,0.03112794,2.441406,-1.708985,0.3302002,2.929688,-2.685547,0.119018585,0.0177009999999999,-0.017212,7.444999999999923e-05,0.0384519999999999,-0.038208,0.00111021,0.0415039999999999,-0.041992,-0.00055237,1.5869140000000002,-1.098633,0.0817871449999999,2.746582,-2.624513,0.133056625,1.708984,-2.319336,-0.31066897,riding
,0.0152579999999999,-0.016235,-0.0004284549999999,0.0834959999999999,-0.0921629999999999,-0.003222055,0.08313,-0.068115,0.002624495,1.098633,-1.281738,-0.0036620999999999,2.441406,-3.4790050000000003,-0.199584995,2.929688,-2.685547,-0.2410889099999999,0.0177009999999999,-0.017212,-0.000809955,0.04773,-0.038208,0.00143495,0.0415039999999999,-0.041992,0.00209047,1.403809,-1.403809,-0.019226105,2.746582,-2.624513,-0.2523804149999999,3.2958990000000004,-2.319336,0.194397025,riding
,0.0119629999999999,-0.016235,-7.995499999999878e-05,0.0596929999999999,-0.0921629999999999,-0.0006402399999999,0.08313,-0.068359,0.00059142,0.915528,-1.342774,-0.0057983499999999,3.17383,-3.4790050000000003,0.0378418099999999,3.845215,-2.868653,0.0488281,0.014526,-0.0174559999999999,-0.000393685,0.04773,-0.037719,0.000656125,0.0415039999999999,-0.03247,0.001146235,1.159668,-1.403809,-0.00488282,3.41797,-2.746582,0.0512695249999999,3.2958990000000004,-2.990723,-0.03448486,riding
,0.0119629999999999,-0.0135499999999999,-0.0001757649999999,0.0596929999999999,-0.0676269999999999,-0.001120625,0.08313,-0.068359,0.0004425,1.098634,-1.342774,0.0238037149999999,3.17383,-3.4790050000000003,0.0439452999999999,3.845215,-2.868653,-0.1000976949999999,0.014526,-0.0174559999999999,-0.000563925,0.04773,-0.037719,0.000245975,0.038574,-0.03247,0.0015948499999999,0.915527,-1.403809,0.03906251,3.41797,-2.746582,-0.0872802699999999,3.2958990000000004,-2.990723,-0.0433349799999999,riding
,0.0100099999999999,-0.0135499999999999,-0.0005212449999999,0.0596929999999999,-0.0676269999999999,-0.002977905,0.08313,-0.068359,-0.0005639599999999,1.098634,-1.342774,-0.0152587899999999,3.17383,-3.4790050000000003,-0.192871095,3.845215,-2.868653,-0.0573731099999999,0.014526,-0.0174559999999999,-0.0009911949999999,0.04773,-0.0354,-0.0004595849999999,0.038574,-0.03247,0.0029730299999999,0.915527,-1.403809,-0.048522975,3.41797,-2.746582,-0.0656127999999999,3.2958990000000004,-2.990723,0.179138175,riding
,0.011475,-0.0135499999999999,-0.000116565,0.063355,-0.063354,-0.0003265349999999,0.06897,-0.068359,-0.0001617399999999,1.098634,-1.342774,-0.00854491,3.17383,-1.892091,0.232849215,3.845215,-2.868653,0.31738289,0.014526,-0.0174559999999999,-0.00048276,0.043579,-0.0354,0.000322865,0.038574,-0.0332029999999999,0.001279895,1.037597,-0.915527,0.0024414649999999,3.41797,-2.746582,0.3216553,1.953125,-2.990723,-0.22064212,riding
,0.011475,-0.0135499999999999,-0.000792235,0.063355,-0.059448,-0.00471314,0.06897,-0.033447,0.00178529,1.098634,-0.976563,-0.0091552499999999,0.7934569999999999,-1.892091,-0.08575442,2.746582,-2.685547,-0.0064086649999999,0.0122069999999999,-0.0126959999999999,-0.0013293399999999,0.035035,-0.0269779999999999,0.0009259149999999,0.0346679999999999,-0.0332029999999999,0.00331482,1.037598,-0.915527,-0.02014161,2.441407,-2.502443,-0.0238036999999999,1.953125,-0.732422,0.0881957849999999,riding
,0.011475,-0.010132,-2.6265000000001986e-05,0.063355,-0.0528569999999999,-0.00058776,0.034912,-0.033447,0.00149718,0.915528,-0.976563,-0.0131225699999999,0.6103509999999999,-0.732422,-0.0625610299999999,2.746582,-2.319337,0.04608157,0.0122069999999999,-0.0114739999999999,-0.0003180349999999,0.031739,-0.0269779999999999,0.0012725949999999,0.0260009999999999,-0.0332029999999999,0.000693965,1.037598,-0.915527,-0.03021243,2.441407,-2.0141600000000004,0.0421142649999999,0.732422,-0.6103510000000001,0.060729995,riding
,0.011475,-0.010132,5.860499999999769e-05,0.063355,-0.0528569999999999,-0.000103145,0.034912,-0.039551,0.0018548699999999,0.915528,-0.793457,-0.0015258899999999,0.7934570000000001,-0.732422,0.00579834,2.746582,-2.319337,0.0018310699999999,0.0122069999999999,-0.0114739999999999,-0.000217295,0.031739,-0.0269779999999999,0.00197874,0.0260009999999999,-0.0332029999999999,0.00019896,1.037598,-0.793458,-0.000305155,2.441407,-2.0141600000000004,0.00427248,0.732422,-0.671387,-0.0061035199999999,riding
,0.011109,-0.008057,-0.0003027399999999,0.055542,-0.04541,-0.002164915,0.034912,-0.039551,0.0015716449999999,0.915528,-0.793457,0.020446755,0.7934570000000001,-0.7934570000000001,-0.046081595,1.281739,-2.319337,-0.15594488,0.010986,-0.0097659999999999,-0.0006024249999999,0.020264,-0.0269779999999999,0.001427605,0.026733,-0.033081,0.0013568049999999,1.037598,-0.732422,0.0311279099999999,1.220704,-2.0141600000000004,-0.153808595,0.732422,-0.671387,0.04333497,riding
,0.024536,-0.026123,-0.0005462549999999,0.1241449999999999,-0.133544,-0.003654775,0.038574,-0.039551,0.00223815,1.281738,-15.319828,-0.06622317,0.7934570000000001,-0.7934570000000001,-0.0076294049999999,4.089357,-3.2958990000000004,0.0247192499999999,0.020263,-0.0236809999999999,-0.000831925,0.020264,-0.022217,0.002000105,0.062012,-0.0540769999999999,0.001889645,1.403809,-1.159668,0.0057983399999999,3.3569340000000003,-2.807618,0.0149536449999999,0.732422,-0.7324220000000001,0.0103759949999999,riding
,0.030396,-0.0278319999999999,0.0006292849999999,0.161377,-0.142944,0.0031066749999999,0.038574,-0.039551,0.000706175,15.136723,-15.319828,-0.0109863049999999,0.7934570000000001,-0.7934570000000001,0.0814819449999999,5.126954,-4.272461,0.02563481,0.0313729999999999,-0.0236809999999999,0.0004986799999999,0.019898,-0.022217,0.001279895,0.062012,-0.084106,-0.00150573,1.464843,-2.01416,0.0033569299999999,4.638672,-3.967286,0.03692628,0.732422,-0.793457,-0.080871585,riding
