diff_window_id,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
102,0.0268549999999999,-0.022827,0.00114806,0.1252439999999999,-0.1235349999999999,0.0046954399999999,0.13623,-0.141235,0.00228822,2.685547,-2.441407,-0.0164794749999999,3.90625,-3.784179,-0.051574725,6.225587,-5.249024,0.055236835,riding
103,0.0233149999999999,-0.015503,0.001140735,0.118408,-0.075683,0.0070043849999999,0.13623,-0.141235,-0.003786015,2.685547,-2.319336,0.09460449,3.90625,-3.784179,0.134277285,4.333496,-5.249024,-0.1257325,riding
104,0.021606,-0.015503,6.227499999999663e-05,0.118408,-0.075683,0.0004125999999999,0.13623,-0.141235,-0.00290771,3.479004,-2.319336,0.00976566,3.90625,-3.784179,0.1104736399999999,4.333496,-5.249024,-0.0329589449999999,riding
105,0.021606,-0.015503,-0.0001208549999999,0.118408,-0.069458,0.000236805,0.1066889999999999,-0.141235,-0.00371946,3.479004,-4.272461,-0.0781250149999999,3.90625,-3.784179,-0.19744875,4.333496,-5.249024,0.1089477399999999,riding
106,0.0164799999999999,-0.0201409999999999,-0.001409915,0.07544,-0.091064,-0.00664488,0.106567,-0.094605,-0.00426393,3.479004,-4.821778,0.087585445,3.5400400000000003,-3.173829,0.0939941249999999,3.5400389999999997,-3.78418,-0.10314944,riding
107,0.0164799999999999,-0.0201409999999999,-0.0006701749999999,0.07544,-0.091064,-0.004024645,0.106567,-0.094605,-0.00034058,3.479004,-4.821778,-0.01037597,3.5400400000000003,-3.234864,-0.1718139749999999,3.5400389999999997,-3.78418,0.012512245,riding
108,0.0164799999999999,-0.0201409999999999,-0.0006982449999999,0.07544,-0.091064,-0.003536385,0.124389,-0.1163329999999999,-0.00187865,3.417969,-4.821778,-0.030212445,3.5400400000000003,-5.004884,-0.2981566849999999,3.5400389999999997,-3.78418,0.1303100599999999,riding
109,0.0164799999999999,-0.0201409999999999,0.0001697,0.07544,-0.091064,-0.0002893,0.160157,-0.1163329999999999,0.00586427,2.807618,-4.821778,-0.01464844,4.882812,-5.004884,0.0616454999999999,2.075195,-3.78418,-0.1229858649999999,riding
110,0.012573,-0.009521,0.000224615,0.05603,-0.0396729999999999,0.0008013849999999,0.160157,-0.13208,0.004001475,1.708985,-2.685547,-0.0808715799999999,4.882812,-5.31006,0.01525884,1.7089839999999998,-1.220703,0.140075705,riding
111,0.012573,-0.009521,-0.0001721149999999,0.05603,-0.029418,0.0001544249999999,0.160157,-0.13208,-0.00234678,1.708985,-2.685547,-0.0125122299999999,5.249023,-5.31006,0.263977095,1.7089839999999998,-1.220703,0.05706787,riding
112,0.012939,-0.010865,0.0003637399999999,0.05603,-0.0289299999999999,0.0022259449999999,0.169434,-0.151978,0.0016711399999999,1.708985,-2.380371,-0.07385255,5.249023,-5.31006,-0.032043495,1.708985,-1.220703,0.0030517549999999,riding
113,0.0196529999999999,-0.010865,0.0007189699999999,0.073852,-0.0345459999999999,0.004605695,0.169434,-0.153076,-0.00210938,2.197267,-2.380371,-0.0115966749999999,5.554199,-5.31006,0.20050047,1.708985,-1.953125,0.0189208899999999,riding
114,0.0196529999999999,-0.013672,-0.00031678,0.073852,-0.0512699999999999,-0.0003155499999999,0.169434,-0.153076,-0.0045416399999999,2.197267,-2.319336,-0.042419435,5.554199,-5.310059,0.0082397099999999,1.708985,-1.953125,-0.0909423799999999,riding
